"Code has been verified please move to the next step","Code has been verified please move to the next step"
"Verification code is wrong","Verification code is wrong"
"Please first configure POS APIs properly. Then try again.","Please first configure POS APIs properly. Then try again."
"Can not send verification code.","Can not send verification code."
"This member account has been registered, please %1 to the member directly, thank you","This member account has been registered, please %1 to the member directly, thank you"
"There is a problem with the requested subscription information. Please contact our CS Center for registration. %1","There is a problem with the requested subscription information. Please contact our CS Center for registration. %1"
"Mobile number can not be null or empty","Mobile number can not be null or empty"
"Mobile number should have only digits","Mobile number should have only digits"
"Mobile number digits can not be less than %1","Mobile number digits can not be less than %1"
"Mobile number digits can not be more than %1","Mobile number digits can not be more than %1"
"Validation Code should have only digits","Validation Code should have only digits"
"Verification code length can not be more than 4","Verification code length can not be more than 4"
"First Name","First Name"
"Last Name","Last Name"
Telephone,Telephone
"Get Code","Get Code"
"Verification code has been sent to your mobile","Verification code has been sent to your mobile"
"Input 4 digit verification code","Input 4 digit verification code"
Verify,Verify
"Verify Registration","Verify Registration"
"Address Information","Address Information"
Address,Address
"Street Address %1","Street Address %1"
"Please select a region, state or province.","Please select a region, state or province."
"* Required Fields","* Required Fields"
Email,Email
Password,Password
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm Password","Confirm Password"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Read more","Read more"
"Marketing Consent","Marketing Consent"
"Create an Account","Create an Account"
Back,Back
Agree,Agree
Disagree,Disagree
"POS Integration","POS Integration"
Api,Api
"Customer Registration","Customer Registration"
"General Configuration","General Configuration"
"Enable Extension","Enable Extension"
"Terms CMS Block Id","Terms CMS Block Id"
"Expiration time in minutes","Expiration time in minutes"
"It's format is minutes:seconds. For example 1:00 for one minute zero seconds.","It's format is minutes:seconds. For example 1:00 for one minute zero seconds."
"Minimum Mobile Number Digits","Minimum Mobile Number Digits"
"Maximum Mobile Number Digits","Maximum Mobile Number Digits"
"Membership Error CMS Page","Membership Error CMS Page"
"Duplicate Membership CMS Page","Duplicate Membership CMS Page"
"Newsletter Policy CMS Block","Newsletter Policy CMS Block"
"SMS Policy CMS Block","SMS Policy CMS Block"
"DM Policy CMS Block","DM Policy CMS Block"
"POS System","POS System"
"Base URL","Base URL"
"Member Information URI","Member Information URI"
"Member Join URI","Member Join URI"
"Sales Organization Code","Sales Organization Code"
"Sales Office Code","Sales Office Code"
"Partner ID","Partner ID"
"SSL Verification","SSL Verification"
Debug,Debug
"Please select a city, city or district.","Please select a city, city or district."
"To receive mail you should have default billing address","To receive mail you should have default billing address"
"Add Address","Add Address"
"These characters (%1) are not allowed.","These characters (%1) are not allowed."
"Please accept the terms and services policy.","Please accept the terms and services policy."
"Call Marketing","Call Marketing"
"A customer with the same integration/sequence number already exists in an associated website.","A customer with the same integration/sequence number already exists in an associated website."
"A customer with the same mobile number already exists in an associated website.","A customer with the same mobile number already exists in an associated website."
"BA Code","BA Code"
"BA Code Enable","BA Code Enable"
"Log in","Log in"
