"Code has been verified please move to the next step","Mã đã được xác nhận, xin hãy chuyển sang bước tiếp theo"
"Verification code is wrong","Mã xác nhận sai"
"Please first configure POS APIs properly. Then try again.","Đầu tiên, hãy cấu hình POS API một cách đúng đắn. Vậy thì thử lại đi."
"Can not send verification code.","Không thể gửi mã xác minh."
"This member account has been registered, please %1 to the member directly, thank you","Tài khoản thành viên này đã được đăng ký, vui lòng %1 tới thành viên trực tiếp, xin cảm ơn."
"There is a problem with the requested subscription information. Please contact our CS Center for registration. %1","Có vấn đề với thông tin đăng ký mua hàng được yêu cầu. Vui lòng liên hệ với trung tâm CS của chúng tôi để đăng ký. %1"
"Mobile number can not be null or empty","Số điện thoại di động không thể là null hoặc rỗng"
"Mobile number should have only digits","Số điện thoại di động phải chỉ có số"
"Mobile number digits can not be less than %1","Số điện thoại di động không được nhỏ hơn %1"
"Mobile number digits can not be more than %1","Số điện thoại di động không được nhiều hơn %1"
"Validation Code should have only digits","Mã hợp lệ phải chỉ có số"
"Verification code length can not be more than 4","Chiều dài mã xác minh không được quá 4"
"First Name","Tên"
"Last Name","Họ"
Telephone,Điện thoại
"Get Code","Nhận được mã"
"Verification code has been sent to your mobile","Mã xác nhận đã được gửi đến điện thoại di động của bạn"
"Input 4 digit verification code","Mã xác minh 4 chữ số nhập liệu"
Verify,Xác nhận
"Verify Registration","Xác nhận đăng ký"
"Code","Mật"
"Address Information","Thông tin địa chỉ"
Address,Địa chỉ
"Street Address %1","Địa chỉ đường phố %1"
"Please select a region, state or province.","Vui lòng chọn khu vực, bang hay tỉnh."
"* Required Fields","* Bắt buộc"
Email,Email
Password,Mật khẩu
"Password Strength","Độ mạnh mật khẩu"
"No Password","Không có mật khẩu"
"Confirm Password","Xác nhận mật khẩu"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"Read more","Đọc thêm"
"Marketing Consent","Thoả thuận tiếp thị"
"Create an Account","Tạo tài khoản"
Back,Trở lại
Agree,Đồng ý
Disagree,Không đồng ý
"POS Integration","Hội nhập POS"
Api,API
"Customer Registration","Đăng ký khách hàng"
"General Configuration","Cấu hình chung"
"Enable Extension","Enable Extension"
"Terms CMS Block Id","Thuật ngữ CMS Block Id"
"Expiration time in minutes","Thời gian hết hạn trong phút"
"It's format is minutes:seconds. For example 1:00 for one minute zero seconds.","Định dạng của nó là phút: giây. Ví dụ 1:00 trong 1 phút 0 giây."
"Minimum Mobile Number Digits","Số điện thoại di động tối thiểu"
"Maximum Mobile Number Digits","Số điện thoại di động tối đa"
"Membership Error CMS Page","Trang thành viên bị lỗi"
"Duplicate Membership CMS Page","Trang thành viên CMS bản sao"
"Newsletter Policy CMS Block","Bản tin chính sách CMS Block"
"SMS Policy CMS Block","Chính sách SMS và CMS Block"
"DM Policy CMS Block","Chính sách DM CMS Block"
"POS System","Hệ thống POS"
"Base URL","Đường Dẫn Cơ Sở URL"
"Member Information URI","Thông tin thành viên URI"
"Member Join URI","Thành viên tham gia URI"
"Sales Organization Code","Mã tổ chức bán hàng"
"Sales Office Code","Bộ luật phòng bán hàng"
"Partner ID","ID của đối tác giả"
"SSL Verification","Xác nhận SSL"
"Debug","Sửa Lỗi"
"State","Khu vực"
"Detailed Address","Địa chỉ chi tiết"
"Zip Code","Mã bưu chính"
"Call Marketing","Tiếp thị cuộc gọi"
"Terms And Services Policy","Chính sách các điều khoản và dịch vụ"
"Please select a city, city or district.","Vui lòng chọn một thành phố, thành phố hoặc quận huyện."
"Change mobile number","Thay đổi số điện thoại di động"
"To receive mail you should have default billing address","Để nhận được thư bạn cần có địa chỉ thanh toán mặc định"
"Add Address","Thêm địa chỉ"
"These characters (%1) are not allowed.","Những ký tự này (%1) không được phép dùng."
"Please accept the terms and services policy.","Xin hãy chấp nhận các điều khoản và chính sách dịch vụ."
"A customer with the same integration/sequence number already exists in an associated website.","Một khách hàng có cùng số hội nhập/đối tác đã có mặt trong một trang web liên quan."
"A customer with the same mobile number already exists in an associated website.","Một khách hàng có cùng số điện thoại di động đã có mặt trong một trang web liên quan."
"To receive mail you should have default billing address<a class=""add-address-link"" href=""%1""><span>Add Address.</span></a>","Để nhận được thư bạn cần có địa chỉ thanh toán ngầm định <a class=""add-address-link"" href=""%1""><span>Thêm địa chỉ</span></a>."
"BA Code","Mã BA"
"BA Code Enable","Mã BA Kích hoạt"
"Log in","Đăng nhập"
"Verified","Đã xác minh"
"No such information, please re-enter","Không có thông tin như vậy, vui lòng nhập lại"
"Unable to fetch information at this time","Không thể tìm nạp thông tin vào lúc này"
"Counter service staff code","Mã nhân viên phục vụ quầy"
"Please click 'Confirm' button for data verification","Vui lòng nhấp vào nút "Xác nhận" để xác minh dữ liệu"
"The code is confirmed as valid information","Mã được xác nhận là thông tin hợp lệ"
