"Invalid payment method","無效的付款方式: %s"
"Invalid order","無效的訂單"
"A Package Of Online Goods","網路商品一批"
"Payment Method: %1","付款方式: %1"
"Simulate paid, update the note only.","模擬付款接收成功，請勿出貨。"
"ecpay_payment_text_credit","信用卡"
"ecpay_payment_text_credit_3","信用卡(3期)"
"ecpay_payment_text_credit_6","信用卡(6期)"
"ecpay_payment_text_credit_12","信用卡(12期)"
"ecpay_payment_text_credit_18","信用卡(18期)"
"ecpay_payment_text_credit_24","信用卡(24期)"
"ecpay_payment_text_webatm","網路ATM"
"ecpay_payment_text_atm","ATM轉帳"
"ecpay_payment_text_cvs","超商代碼"
"ecpay_payment_text_barcode","超商條碼"
"ecpay_payment_order_comment_payment_result","交易狀態 : (%s)%s"
"ecpay_payment_order_comment_atm","銀行代碼 : %s, 虛擬帳號 : %s, 付款截止日 : %s"
"ecpay_payment_order_comment_cvs","繳費代碼 : %s, 付款截止日 : %s"
"ecpay_payment_order_comment_barcode","付款截止日 : %s, 第1段條碼號碼 : %s, 第2段條碼號碼 : %s, 第3段條碼號碼 : %s"
"ecpay_payment_order_comment_payment_failure","付款失敗, 錯誤訊息 : %s"
"Laneige Online Shopping Center", "蘭芝線上購物中心"
"Invoice Title","公司統編"
"Tax ID Number","統一編號"
"Donation Invoice","發票捐贈"
"Invoice will be donated uniformly to <b>the Cancer Hope FoundationSome html</b>","發票將統一捐贈給<b>癌症希望基金會</b>"
"Payment Methods","付款方式"
"E-Invoice","電子發票資訊"
"GreenWorld Invoice","綠界會員載具"
"Invoice opening notice will be sent to you by email, and you will be notified by mail on your own initiative when you win the prize.","發票開立通知會透過電子郵件寄給您，中獎時會主動寄信通知您。"
"Triplicate Invoice","公司發票(線上列印)"
"Cellphone Barcode Invoice","個人雲端發票"
"Cellphone Barcode","手機條碼載具"
"Credit","信用卡"
"WEB-ATM","網路ATM"
"ATM","ATM轉帳"
"Triplicate Title","發票抬頭"
"Sulwhasoo Online Shopping Center", "雪花秀線上購物中心"
