"Warning! State mismatch. Authentication attempt may have been compromised.","警告！ 狀態不匹配。 身份驗證嘗試可能已被破壞。"
"Unspecified OAuth error occurred.","發生未指定的OAuth錯誤。"
"Warning! Visitor may have declined access or navigated to the page without being redirected.","警告！ 訪問者可能拒絕訪問或導航到該頁面而沒有被重定向。"
"We can't process your request right now. Sorry, that's all we know.","我們目前無法處理您的請求。 抱歉，這就是我們所知道的。"
"Login successful.","登陸成功。"
"Unable to find Social Login User with ID ""%1""","找不到ID為的社交登錄用戶 ""%1"""
"* Required Fields","* 必填項"
"Social Login","社交登錄"
"Welcome to use FB, Google, and LINE accounts to quickly log in. After setting, you can directly log in with FB and Google accounts!","歡迎使用Facebook, Google ,LINE帳號快速登入！"
"I am a member of Sulwhasoo Taiwan! Login now to complete the binding","我是台灣雪花秀會員! 立即登入完成綁定"
"I am a member of Laneige Taiwan! Login now to complete the binding","我是台灣蘭芝會員! 立即登入完成綁定"
"Join Taiwan Laneige member! Complete binding","加入台灣蘭芝會員! 完成綁定"
"Join Taiwan Sulwhasoo member! Complete binding","加入台灣雪花秀會員! 完成綁定"
"Linked Account : Google ID/Facebook/Line","關聯帳戶：Google ID / Facebook /專線"
Email,電子郵件
Password,密碼
"I am not a %1 member(Login to complete the setup)","我不是 %1 會員（登錄以完成設置）"
Cancel,卡內爾
OK,好
OR,或
"Login with LINE","LINE 帳號綁定 / 登入"
"Login with Facebook","Facebook 帳號綁定 / 登入"
"Login with Google","Google 帳號綁定 / 登入"
"General Setting","通用設置"
"Enable Module","啟用模塊"
LINE,LINE
Enable,啟用
"Channel ID","頻道編號"
"Channel Secret","頻道秘密"
"Callback URL","回調網址"
Facebook,Facebook
"App ID","應用程式編號"
"App Secret","應用秘密"
"OAuth Redirect URI","OAuth重定向URI"
Google,Google
"Client ID","客戶編號"
"Client Secret","客戶機密"
"Quick login binding","快速登入綁定"
