"Please Test Enter phone Number","Please Test Enter phone Number"
"Please Enter Test text message","Please Enter Test text message"
"Please enable extension","Please enable extension"
"Test Sms has been sent on Your number","Test Sms has been sent on Your number"
"Please enter valid Api credentials","Please enter valid Api credentials"
"Please check your api credentials","Please check your api credentials"
"Please Enter correct verification code","Please Enter correct verification code"
"This field is required","This field is required"
"SMS Code","SMS Code"
smscode,smscode
"Get Code","Get Code"
"Verification has been sent","Verification has been sent"
"This number has been already registered with an other account","This number has been already registered with an other account"
"Your verification code has been verified","Your verification code has been verified"
"Verify Code","Verify Code"
"Dear %customer Your order #%order has been canceled By %store_name","Dear %customer Your order #%order has been canceled By %store_name"
"Dear %customer Your order #%order has been closed By %store_name","Dear %customer Your order #%order has been closed By %store_name"
"Dear %customer Your order #%order has been completed By %store_name","Dear %customer Your order #%order has been completed By %store_name"
"Dear %customer Your order #%order is in hold state By %store_name","Dear %customer Your order #%order is in hold state By %store_name"
"Dear %customer Your order #%order is in pending state By %store_name","Dear %customer Your order #%order is in pending state By %store_name"
"Dear %customer Your order #%order is in processing state By %store_name","Dear %customer Your order #%order is in processing state By %store_name"
"%code is your %store_name verification code by %store_name","%code is your %store_name verification code by %store_name"
"Eguana StoreSms","Eguana StoreSms"
"General Configuration","General Configuration"
"Enable Extension","Enable Extension"
"Unique Mobile Number Validation","Unique Mobile Number Validation"
"Api url","Api url"
"Message templates","Message templates"
"Enable SMS based registration verification option","Enable SMS based registration verification option"
"Register SMS Template","Register SMS Template"
"Send SMS after status changed to ""Pending Payment""","Send SMS after status changed to ""Pending Payment"""
"Send SMS after status changed to ""On Hold""","Send SMS after status changed to ""On Hold"""
"Send SMS after status changed to ""Processing""","Send SMS after status changed to ""Processing"""
"Send SMS after status changed to ""Cancel""","Send SMS after status changed to ""Cancel"""
"Send SMS after status changed to ""Complete""","Send SMS after status changed to ""Complete"""
"Send SMS after status changed to ""Closed""","Send SMS after status changed to ""Closed"""
"Test Numbers","Test Numbers"
"Send test message","Send test message"
